Time,Y,Y_type,CL,Drug,ConcInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1532.99033333333,IFNg,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3849.95633333333,IFNg,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL10,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL10,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IL10,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IL10,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL10,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL10,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,62.5888833333333,IL10,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,287.651366666667,IL10,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10.10155,IL10,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,23.2596983333333,IL10,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,18.6235683333333,IL10,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,375.7527,IL10,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23.7519033333333,IL10,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,67.4592366666666,IL10,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,249.832666666667,IL10,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,171.06505,IL10,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,101.421063333333,IL10,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,282.681903333333,IL10,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,273.480033333333,IL10,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,580.298066666667,IL10,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,152.970766666667,IL10,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,280.975566666667,IL10,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,337.3649,IL10,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,685.8717,IL10,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,126.654496666667,IL10,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,362.4839,IL10,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,471.907233333333,IL10,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1557.18133333333,IL10,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.02898533333333,IL2,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.09121666666667,IL2,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.58906566666667,IL2,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
